Lake,date,MeanTemp
H1P,2019-08-16,13.086666666666666
H1P,2019-08-17,13.183117647058824
H1P,2019-08-18,13.101627450980391
H1P,2019-08-19,13.262588235294118
H1P,2019-08-20,13.394490196078431
H1P,2019-08-21,12.935711538461538
H1P,2019-08-22,13.592076923076924
H1P,2019-08-23,12.97475
H1P,2019-08-24,13.538326923076923
H1P,2019-08-25,14.085557692307692
H1P,2019-08-26,14.12001923076923
H1P,2019-08-27,13.964811320754716
H1P,2019-08-28,13.468351851851851
H1P,2019-08-29,13.602592592592593
H1P,2019-08-30,13.882240740740741
H1P,2019-08-31,13.472481481481482
H1P,2019-09-01,13.884074074074073
H1P,2019-09-02,13.365981481481482
H1P,2019-09-03,11.880018518518519
H1P,2019-09-04,11.941818181818181
H1P,2019-09-05,11.898254545454545
H1P,2019-09-06,11.837654545454544
H1P,2019-09-07,12.362461538461538
H1P,2021-07-04,13.220833333333333
H1P,2021-07-05,12.926310344827586
H1P,2021-07-06,13.13893103448276
H1P,2021-07-07,13.799655172413793
H1P,2021-07-08,13.96496551724138
H1P,2021-07-09,14.487206896551724
H1P,2021-07-10,14.398206896551724
H1P,2021-07-11,14.503758620689654
H1P,2021-07-12,14.46403448275862
H1P,2021-07-13,14.444137931034483
H1P,2021-07-14,14.7213
H1P,2021-07-15,14.935033333333333
H1P,2021-07-16,14.933870967741935
H1P,2021-07-17,14.933870967741935
H1P,2021-07-18,14.983258064516129
H1P,2021-07-19,14.696354838709677
H1P,2021-07-20,14.476677419354838
H1P,2021-07-21,14.597
H2A,2019-07-13,1.2319
H2A,2019-07-14,0.9460222222222222
H2A,2019-07-15,1.1229555555555555
H2A,2019-07-16,1.4148888888888889
H2A,2019-07-17,1.7474222222222222
H2A,2019-07-18,2.230177777777778
H2A,2019-07-19,2.9273555555555557
H2A,2019-07-20,3.6041777777777777
H2A,2019-07-21,4.160282608695653
H2A,2019-07-22,4.989130434782608
H2A,2019-07-23,5.299739130434783
H2A,2019-07-24,5.201765957446809
H2A,2019-07-25,5.971808510638298
H2A,2019-07-26,6.178425531914893
H2A,2019-07-27,6.458617021276596
H2A,2019-07-28,7.107978723404256
H2A,2019-07-29,8.473063829787234
H2A,2019-07-30,8.919510638297872
H2A,2019-07-31,9.67431914893617
H2A,2019-08-01,10.359276595744682
H2A,2019-08-02,10.708234042553192
H2A,2019-08-03,10.612875
H2A,2019-08-04,10.86138775510204
H2A,2019-08-05,11.443632653061224
H2A,2019-08-06,12.117
H2A,2019-08-07,12.329122448979591
H2A,2019-08-08,12.066448979591836
H2A,2019-08-09,11.906102040816327
H2A,2019-08-10,11.858591836734695
H2A,2019-08-11,11.813
H2A,2019-08-12,11.980571428571428
H2A,2019-08-13,12.64134
H2A,2019-08-14,13.11244
H2A,2019-08-15,13.468137254901961
H2A,2019-08-16,13.89443137254902
H2A,2019-08-17,14.158156862745098
H2A,2019-08-18,14.287882352941176
H2A,2019-08-19,14.353549019607843
H2A,2019-08-20,14.473803921568628
H2A,2019-08-21,14.445076923076924
H2A,2019-08-22,14.546480769230769
H2A,2019-08-23,14.761480769230769
H2A,2019-08-24,15.050480769230768
H2A,2019-08-25,15.619807692307692
H2A,2019-08-26,15.69176923076923
H2A,2019-08-27,15.30579245283019
H2A,2019-08-28,14.798925925925925
H2A,2019-08-29,14.823592592592593
H2A,2019-08-30,14.859148148148147
H2A,2019-08-31,14.369685185185185
H2A,2019-09-01,13.669185185185185
H2A,2019-09-02,14.120537037037037
H2A,2019-09-03,12.961833333333333
H2A,2019-09-04,13.174309090909091
H2A,2019-09-05,12.944545454545455
H2A,2019-09-06,12.877490909090909
H2A,2019-09-07,12.905307692307693
H2A,2021-07-03,13.83
H2A,2021-07-04,13.85855172413793
H2A,2021-07-05,14.615862068965518
H2A,2021-07-06,15.067724137931034
H2A,2021-07-07,15.848448275862069
H2A,2021-07-08,16.305655172413793
H2A,2021-07-09,16.791620689655172
H2A,2021-07-10,16.56196551724138
H2A,2021-07-11,16.48648275862069
H2A,2021-07-12,16.101862068965517
H2A,2021-07-13,15.897896551724138
H2A,2021-07-14,16.2652
H2A,2021-07-15,16.60183333333333
H2A,2021-07-16,16.682193548387097
H2A,2021-07-17,16.660870967741936
H2A,2021-07-18,16.59
H2A,2021-07-19,15.87374193548387
H2A,2021-07-20,15.642483870967743
H2A,2021-07-21,16.034125
H2P,2019-07-13,5.244
H2P,2019-07-14,5.126288888888889
H2P,2019-07-15,5.658644444444445
H2P,2019-07-16,6.5901555555555555
H2P,2019-07-17,7.489511111111112
H2P,2019-07-18,8.179488888888889
H2P,2019-07-19,8.531711111111111
H2P,2019-07-20,8.862822222222222
H2P,2019-07-21,9.330304347826086
H2P,2019-07-22,9.476239130434783
H2P,2019-07-23,9.561391304347826
H2P,2019-07-24,8.603808510638297
H2P,2019-07-25,8.394148936170213
H2P,2019-07-26,8.043851063829788
H2P,2019-07-27,8.34904255319149
H2P,2019-07-28,9.655765957446809
H2P,2019-07-29,10.227553191489362
H2P,2019-07-30,10.562765957446809
H2P,2019-07-31,11.109276595744682
H2P,2019-08-01,11.529617021276596
H2P,2019-08-02,12.057595744680851
H2P,2019-08-03,12.4625625
H2P,2019-08-04,12.508530612244899
H2P,2019-08-05,12.983142857142857
H2P,2019-08-06,13.461
H2P,2019-08-07,13.512367346938776
H2P,2019-08-08,13.42969387755102
H2P,2019-08-09,13.372795918367347
H2P,2019-08-10,13.083795918367347
H2P,2019-08-11,12.801979591836735
H2P,2019-08-12,13.116755102040816
H2P,2019-08-13,13.68754
H2P,2019-08-14,14.24232
H2P,2019-08-15,14.758843137254901
H2P,2019-08-16,15.092686274509804
H2P,2019-08-17,15.342039215686274
H2P,2019-08-18,15.452588235294117
H2P,2019-08-19,15.441196078431373
H2P,2019-08-20,15.566843137254901
H2P,2019-08-21,15.489692307692307
H2P,2019-08-22,15.596153846153847
H2P,2019-08-23,15.803288461538461
H2P,2019-08-24,16.291346153846153
H2P,2019-08-25,16.68892307692308
H2P,2019-08-26,16.832
H2P,2019-08-27,16.434415094339624
H2P,2019-08-28,16.06888888888889
H2P,2019-08-29,16.104166666666668
H2P,2019-08-30,16.001574074074075
H2P,2019-08-31,15.849685185185185
H2P,2019-09-01,15.657092592592592
H2P,2019-09-02,15.168925925925926
H2P,2019-09-03,14.181574074074074
H2P,2019-09-04,14.025745454545454
H2P,2019-09-05,13.496272727272727
H2P,2019-09-06,13.423836363636363
H2P,2019-09-07,13.668435897435897
H2P,2021-06-17,14.134
H2P,2021-06-18,13.534310344827587
H2P,2021-06-19,13.214586206896552
H2P,2021-06-20,14.119
H2P,2021-06-21,14.919413793103448
H2P,2021-06-22,14.417758620689655
H2P,2021-06-23,13.287655172413793
H2P,2021-06-24,13.443689655172413
H2P,2021-06-25,13.927862068965517
H2P,2021-06-26,14.296827586206897
H2P,2021-06-27,15.890448275862068
H2P,2021-06-28,16.216758620689653
H2P,2021-06-29,14.893172413793105
H2P,2021-06-30,13.467620689655172
H2P,2021-07-01,12.523689655172413
H2P,2021-07-02,12.802137931034483
H2P,2021-07-03,13.564
H2P,2021-07-04,13.532206896551724
H2P,2021-07-05,14.740827586206896
H2P,2021-07-06,15.35751724137931
H2P,2021-07-07,15.858241379310344
H2P,2021-07-08,16.147344827586206
H2P,2021-07-09,16.762206896551724
H2P,2021-07-10,16.137999999999998
H2P,2021-07-11,16.17093103448276
H2P,2021-07-12,15.99
H2P,2021-07-13,15.94048275862069
H2P,2021-07-14,16.2396
H2P,2021-07-15,16.392166666666665
H2P,2021-07-16,16.18106451612903
H2P,2021-07-17,16.184193548387096
H2P,2021-07-18,15.962903225806452
H2P,2021-07-19,15.226870967741936
H2P,2021-07-20,14.963548387096774
H2P,2021-07-21,15.65625
H3A,2019-07-31,16.115363636363636
H3A,2019-08-01,15.861191489361703
H3A,2019-08-02,15.978808510638299
H3A,2019-08-03,16.1451875
H3A,2019-08-04,16.19969387755102
H3A,2019-08-05,16.537938775510202
H3A,2019-08-06,16.78683673469388
H3A,2019-08-07,16.78104081632653
H3A,2019-08-08,16.586510204081634
H3A,2019-08-09,16.234632653061226
H3A,2019-08-10,15.929224489795919
H3A,2019-08-11,15.332979591836734
H3A,2019-08-12,15.014755102040816
H3A,2019-08-13,15.53804
H3A,2019-08-14,15.820640000000001
H3A,2019-08-15,16.208372549019607
H3A,2019-08-16,16.541098039215687
H3A,2019-08-17,16.789529411764704
H3A,2019-08-18,16.789549019607843
H3A,2019-08-19,16.97435294117647
H3A,2019-08-20,16.912725490196078
H3A,2019-08-21,16.806365384615386
H3A,2019-08-22,16.767923076923076
H3A,2019-08-23,16.595653846153844
H3A,2019-08-24,17.035057692307692
H3A,2019-08-25,17.580673076923077
H3A,2019-08-26,17.717826923076924
H3A,2019-08-27,17.11711320754717
H3A,2019-08-28,16.82412962962963
H3A,2019-08-29,16.815203703703705
